Size,Volatility,POV,Cost
0.202680159,0.0084,0.033444636,1.005452563
0.142482351,0.0098,0.033629919,1.06983013
0.206276715,0.0058,0.033387934,1.027715414
0.160731493,0.0108,0.033760737,1.232808683
0.102424211,0.0355,0.031131653,2.689893684
0.129783051,0.0316,0.033339476,3.837492373
0.194883889,0.0072,0.033830537,1.008869164
0.188262742,0.0045,0.033219102,0.950665804
0.199724874,0.0035,0.033750066,1.145058583
0.1713041,0.0176,0.033856702,1.542428246
0.189367942,0.0056,0.033583331,1.02435746
0.206444357,0.0062,0.033607603,1.01772053
0.210407692,0.0326,0.034812425,2.175943162
0.196195798,0.0092,0.033815397,1.022523683
0.202673692,0.0088,0.033617332,1.032972121
0.28300633,0.0161,0.034350193,1.42936824
0.21487886,0.0142,0.033183685,2.342516152
0.209508252,0.0051,0.033658196,1.043934535
0.197250467,0.0238,0.033634912,1.997808411
0.271702108,0.0156,0.033828448,1.116116628
0.2061102,0.0086,0.033727861,1.035928423
0.336229949,0.0265,0.034097709,2.086927411
0.158110818,0.0112,0.033460874,1.329465063
0.149033456,0.0083,0.033661404,0.957591569
0.219209821,0.0213,0.033778999,1.364140625
0.136026014,0.0217,0.032635293,1.820655609
0.297408137,0.0205,0.034899383,2.214833833
0.188429376,0.0118,0.033426735,1.281143525
0.230810756,0.0155,0.03305993,1.769387936
0.13500914,0.0283,0.030949718,1.693525269
0.286852632,0.0274,0.036759414,1.564678421
0.12521804,0.0227,0.033462068,2.635278227
0.163928126,0.0073,0.033622328,1.110471836
0.207930266,0.0046,0.033782583,1.057620405
0.22398376,0.0059,0.033766891,1.11329248
0.178009281,0.0082,0.033588464,0.951171594
0.200605263,0.0348,0.036376271,2.677895614
0.218013459,0.0052,0.033311798,0.913135833
0.095053017,0.0212,0.033442632,2.52600431
0.188918113,0.0078,0.033327557,1.045020523
0.202484045,0.0216,0.033447255,2.34922427
0.161014758,0.052,0.032063371,2.963768722
0.162383982,0.0175,0.032692217,1.840509611
0.262761086,0.0328,0.034266989,3.171178733
0.215487717,0.0094,0.033616654,1.358030136
0.173439737,0.0162,0.03312102,2.132258831
0.246474821,0.0034,0.033549879,1.062358473
0.163158177,0.0091,0.033411786,0.989990284
0.065577083,0.0187,0.033176181,2.694527083
0.142549345,0.0476,0.034032885,2.396999563
0.169887073,0.0075,0.033503484,1.037781653
0.205142174,0.0269,0.029663032,4.367873043
0.184975917,0.0042,0.033499559,0.979436676
0.146887416,0.0174,0.034134654,2.075802472
0.198281032,0.0105,0.033404748,1.314144938
0.172674262,0.0506,0.034035387,2.711187764
0.149245116,0.0517,0.033436525,3.357986977
0.235389766,0.0144,0.0342527,1.831530838
0.177375231,0.0229,0.033984375,2.145551852
0.253553629,0.013,0.033705325,1.812907258
0.238303781,0.0125,0.033415548,1.183783395
0.13051895,0.0206,0.033248442,1.662297032
0.125690756,0.0495,0.032744892,5.717304202
0.241983713,0.0145,0.033534017,1.496294921
0.226847328,0.0031,0.033508264,0.838879389
0.194207351,0.0126,0.033601455,1.222162049
0.217039901,0.0127,0.034071952,1.523355111
0.160693081,0.0101,0.033647857,1.410235066
0.166763138,0.0081,0.033667586,1.08108188
0.194046762,0.008,0.033539949,1.042122603
0.183822763,0.0117,0.033543944,1.285586042
0.188482353,0.0523,0.0340997,4.384462309
0.287695025,0.018,0.03517796,1.730412935
0.177254017,0.0055,0.033751426,1.07553422
0.242990638,0.0183,0.033619082,3.110968085
0.16247102,0.011,0.033437581,1.093314686
0.438868884,0.0132,0.034108696,1.334022961
0.101492484,0.0163,0.033855767,1.732793319
0.091877682,0.0266,0.034189362,1.792261803
0.100097788,0.0526,0.031738605,3.323633186
0.179350106,0.0038,0.033563158,0.824934212
0.182708924,0.01,0.033128665,1.362340973
0.171034471,0.0116,0.033542374,1.059037056
0.148637335,0.0153,0.033283855,1.849916064
0.250416087,0.0477,0.034852363,2.257775217
